Unnamed: 0,file,is_background,date_time,location,speed_kmh,sample_pos,daytime,weather,vehicle,source_direction,microphone,channel,decibel,Dezibel_ber
39,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1238893_M_D_CL_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1238893,M,D,C,L,SE,CH34,10.94760917666154,53.09145355224609
40,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12423936_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12423936,,,,,ME,CH12,0.008803401036158263,47.19915771484375
41,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12423936_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12423936,,,,,SE,CH34,0.005368019675131986,42.41403961181641
42,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12519936_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12519936,,,,,ME,CH12,0.007635111812348968,45.39445495605469
43,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12519936_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12519936,,,,,SE,CH34,0.006052653762806648,42.49563598632812
44,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12615936_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12615936,,,,,ME,CH12,0.008251607710617713,46.26370239257812
45,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12615936_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12615936,,,,,SE,CH34,0.00648508071829292,43.42722320556641
46,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1264066_M_D_CR_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1264066,M,D,C,R,ME,CH12,4.865845636613538,52.88143920898438
47,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1264066_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1264066,M,D,C,R,SE,CH34,12.02559272517054,54.52008438110352
48,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1266200_M_D_CR_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1266200,M,D,C,R,ME,CH12,9.74375064173527,58.83611297607422
49,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1266200_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1266200,M,D,C,R,SE,CH34,14.42640526441241,57.46902465820312
50,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12711936_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12711936,,,,,ME,CH12,0.008072154053708003,46.4859619140625
51,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12711936_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12711936,,,,,SE,CH34,0.006370236623488822,43.48069000244141
52,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1272258_M_D_BR_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1272258,M,D,B,R,ME,CH12,13.36303719976019,61.94661331176758
53,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1272258_M_D_BR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1272258,M,D,B,R,SE,CH34,19.51895987920216,62.8031120300293
54,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12807936_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12807936,,,,,ME,CH12,0.009049845681355435,47.47666549682617
55,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12807936_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12807936,,,,,SE,CH34,0.007613301948197013,45.53113174438477
56,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1288557_M_D_CR_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1288557,M,D,C,R,ME,CH12,7.996795352400946,56.11968994140625
57,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1288557_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1288557,M,D,C,R,SE,CH34,14.89523586854297,58.19758224487305
58,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12903936_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12903936,,,,,ME,CH12,0.006663791079848803,44.31867218017578
59,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12903936_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12903936,,,,,SE,CH34,0.005383758690339435,42.44886779785156
60,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12999936_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12999936,,,,,ME,CH12,0.007813195666990274,46.09482192993164
61,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12999936_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12999936,,,,,SE,CH34,0.005597699102809542,43.24740219116211
62,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13095936_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,13095936,,,,,ME,CH12,0.008595155470966509,46.65485000610352
63,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13095936_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,13095936,,,,,SE,CH34,0.004806944283296114,40.73532104492188
64,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1349400_M_D_CR_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1349400,M,D,C,R,ME,CH12,1.515873144915649,49.3014030456543
65,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1349400_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1349400,M,D,C,R,SE,CH34,7.436697897879804,50.5445556640625
66,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13577727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,13577727,,,,,ME,CH12,0.007225266727863787,44.55060958862305
67,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13577727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,13577727,,,,,SE,CH34,0.00610849147864135,40.81050872802734
68,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13673727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,13673727,,,,,ME,CH12,0.006080253199472457,42.94303131103516
69,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13673727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,13673727,,,,,SE,CH34,0.004949370326912598,39.46882629394531
70,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13769727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,13769727,,,,,ME,CH12,0.007022171256333446,44.70998001098633
71,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13769727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,13769727,,,,,SE,CH34,0.005315441864026182,39.33019638061523
72,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13865727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,13865727,,,,,ME,CH12,0.005669267755730491,42.31134033203125
73,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13865727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,13865727,,,,,SE,CH34,0.004678569127030556,38.40069198608398
74,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13961727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,13961727,,,,,ME,CH12,0.006271663366177833,43.2678108215332
75,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13961727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,13961727,,,,,SE,CH34,0.005947710965129708,40.20407104492188
76,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14057727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14057727,,,,,ME,CH12,0.005694156709696912,42.28329086303711
77,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14057727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14057727,,,,,SE,CH34,0.004857708988978837,38.95162582397461
78,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1414168_M_D_CR_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1414168,M,D,C,R,ME,CH12,4.555275301829021,52.42399597167969
79,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1414168_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1414168,M,D,C,R,SE,CH34,11.1342733506421,53.42615509033203
80,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14153727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14153727,,,,,ME,CH12,0.1180845497521751,43.07424545288086
81,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14153727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14153727,,,,,SE,CH34,0.04300658500142726,38.4346809387207
82,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1419885_M_D_CL_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1419885,M,D,C,L,ME,CH12,1.97972960017578,49.92443466186523
83,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1419885_M_D_CL_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1419885,M,D,C,L,SE,CH34,8.131742421090117,50.85661697387695
84,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14249727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14249727,,,,,ME,CH12,0.005179442351307659,41.99105453491211
85,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14249727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14249727,,,,,SE,CH34,0.003877150354117491,37.4136962890625
86,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14345727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14345727,,,,,ME,CH12,0.004793634820684853,41.26371002197266
87,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14345727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14345727,,,,,SE,CH34,0.003068275454268642,36.2880744934082
88,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1438658_M_D_CR_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1438658,M,D,C,R,ME,CH12,6.331496931074093,56.2249755859375
89,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1438658_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1438658,M,D,C,R,SE,CH34,9.68986381320886,53.08432769775391
90,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14441727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14441727,,,,,ME,CH12,0.005460830738339935,42.50270080566406
91,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14441727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14441727,,,,,SE,CH34,0.00306279882270656,36.55371475219727
92,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14537727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14537727,,,,,ME,CH12,0.004773001711707961,41.16959381103516
93,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14537727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14537727,,,,,SE,CH34,0.002942694349010876,36.02164077758789
94,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14633727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14633727,,,,,ME,CH12,0.004787163327198377,41.54044723510742
95,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14633727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14633727,,,,,SE,CH34,0.003012886141304686,36.40359497070312
96,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14729727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14729727,,,,,ME,CH12,0.005082304825012417,41.73835754394531
97,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14729727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14729727,,,,,SE,CH34,0.003382313490120647,37.09130859375
98,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14825727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14825727,,,,,ME,CH12,0.006496639158724541,43.57996368408203
99,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14825727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14825727,,,,,SE,CH34,0.005038417288083714,40.14253234863281
100,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1484141_M_D_CL_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1484141,M,D,C,L,ME,CH12,4.776896037456121,51.53771209716797
101,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1484141_M_D_CL_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1484141,M,D,C,L,SE,CH34,12.67031735703813,54.9053955078125
102,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14921727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14921727,,,,,ME,CH12,0.01782243708959166,49.54380035400391
103,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14921727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14921727,,,,,SE,CH34,0.01200864881540786,47.02726745605469
104,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1500952_M_D_CL_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1500952,M,D,C,L,ME,CH12,2.849962705590568,50.32045364379883
105,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1500952_M_D_CL_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1500952,M,D,C,L,SE,CH34,11.12648514212855,53.66344451904297
106,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_15017727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,15017727,,,,,ME,CH12,0.009702901273450193,45.17523574829102
107,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_15017727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,15017727,,,,,SE,CH34,0.006106476065788386,41.7978630065918
108,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_15113727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,15113727,,,,,ME,CH12,0.004859792941127787,41.39011383056641
109,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_15113727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,15113727,,,,,SE,CH34,0.003329080752353579,36.99315643310547
110,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_15209727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,15209727,,,,,ME,CH12,0.005113814931803378,42.25164413452148
111,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_15209727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,15209727,,,,,SE,CH34,0.003080706681099752,36.60519409179688
112,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_15305727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,15305727,,,,,ME,CH12,0.005639886709129867,43.06832885742188
113,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_15305727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,15305727,,,,,SE,CH34,0.003470131368533498,37.54794311523438
114,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1533634_M_D_CR_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1533634,M,D,C,R,ME,CH12,5.259431613623178,53.38791275024414
115,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1533634_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1533634,M,D,C,R,SE,CH34,10.93361131505977,53.40730285644531
116,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_15401727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,15401727,,,,,ME,CH12,0.006418660618352608,44.24335861206055
117,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_15401727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,15401727,,,,,SE,CH34,0.00404252339923001,38.81367874145508
118,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1542082_M_D_CL_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1542082,M,D,C,L,ME,CH12,6.292599372993574,54.9659309387207
119,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1542082_M_D_CL_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1542082,M,D,C,L,SE,CH34,11.35991829820099,55.00016021728516
120,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1576813_M_D_CL_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1576813,M,D,C,L,ME,CH12,1.422836304454971,49.28682327270508
121,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1576813_M_D_CL_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1576813,M,D,C,L,SE,CH34,7.330623026197203,49.978759765625
122,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1614808_M_D_CR_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1614808,M,D,C,R,ME,CH12,3.623902941892218,51.45124816894531
123,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1614808_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1614808,M,D,C,R,SE,CH34,10.2503704488654,52.61869430541992
124,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1617240_M_D_CR_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1617240,M,D,C,R,ME,CH12,10.19782296355926,59.20991134643555
125,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1617240_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1617240,M,D,C,R,SE,CH34,13.15563521677559,56.34035491943359
126,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1620056_M_D_CR_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1620056,M,D,C,R,ME,CH12,4.105578178679733,52.35575866699219
