file,is_background,date_time,location,speed_kmh,sample_pos,daytime,weather,vehicle,source_direction,microphone,channel,decibel
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10557440_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10557440,,,,,ME,CH12,0.005828142746456973
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10557440_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10557440,,,,,SE,CH34,0.003660092568363566
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10653440_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10653440,,,,,ME,CH12,0.006614390259963665
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10653440_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10653440,,,,,SE,CH34,0.003684229158566098
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10749440_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10749440,,,,,ME,CH12,0.007238677801834366
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10749440_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10749440,,,,,SE,CH34,0.004583510762653751
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10845440_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10845440,,,,,ME,CH12,0.007158122631442693
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10845440_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10845440,,,,,SE,CH34,0.004639422362250799
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1116695_M_D_CR_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1116695,M,D,C,R,ME,CH12,6.791186281619211
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1116695_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1116695,M,D,C,R,SE,CH34,14.72146609327144
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1137602_M_D_CL_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1137602,M,D,C,L,ME,CH12,4.160025706910153
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1137602_M_D_CL_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1137602,M,D,C,L,SE,CH34,10.02306659224418
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_11398656_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,11398656,,,,,ME,CH12,0.0064958954645962
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_11398656_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,11398656,,,,,SE,CH34,0.004269450267923969
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1141442_M_D_CR_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1141442,M,D,C,R,ME,CH12,7.946938001180155
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1141442_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1141442,M,D,C,R,SE,CH34,13.08607633743765
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_11494656_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,11494656,,,,,ME,CH12,0.00813621317138715
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_11494656_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,11494656,,,,,SE,CH34,0.004750444281582404
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_11590656_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,11590656,,,,,ME,CH12,0.006259519818894676
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_11590656_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,11590656,,,,,SE,CH34,0.005036894619925192
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1172589_M_D_CL_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1172589,M,D,C,L,ME,CH12,2.744267096304118
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1172589_M_D_CL_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1172589,M,D,C,L,SE,CH34,8.868190265154754
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12135936_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12135936,,,,,ME,CH12,0.00914483110640181
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12135936_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12135936,,,,,SE,CH34,0.006477047887065283
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12231936_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12231936,,,,,ME,CH12,0.009308712951597884
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12231936_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12231936,,,,,SE,CH34,0.006578624332480703
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12327936_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12327936,,,,,ME,CH12,0.00923174826389631
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12327936_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12327936,,,,,SE,CH34,0.005959241207481552
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1238893_M_D_CL_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1238893,M,D,C,L,ME,CH12,2.435875449518226
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1238893_M_D_CL_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1238893,M,D,C,L,SE,CH34,10.94760917666154
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12423936_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12423936,,,,,ME,CH12,0.008803401036158263
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12423936_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12423936,,,,,SE,CH34,0.005368019675131986
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12519936_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12519936,,,,,ME,CH12,0.007635111812348968
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12519936_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12519936,,,,,SE,CH34,0.006052653762806648
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12615936_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12615936,,,,,ME,CH12,0.008251607710617713
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12615936_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12615936,,,,,SE,CH34,0.00648508071829292
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1264066_M_D_CR_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1264066,M,D,C,R,ME,CH12,4.865845636613538
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1264066_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1264066,M,D,C,R,SE,CH34,12.02559272517054
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1266200_M_D_CR_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1266200,M,D,C,R,ME,CH12,9.74375064173527
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1266200_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1266200,M,D,C,R,SE,CH34,14.42640526441241
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12711936_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12711936,,,,,ME,CH12,0.008072154053708003
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12711936_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12711936,,,,,SE,CH34,0.006370236623488822
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1272258_M_D_BR_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1272258,M,D,B,R,ME,CH12,13.36303719976019
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1272258_M_D_BR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1272258,M,D,B,R,SE,CH34,19.51895987920216
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12807936_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12807936,,,,,ME,CH12,0.009049845681355435
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12807936_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12807936,,,,,SE,CH34,0.007613301948197013
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1288557_M_D_CR_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1288557,M,D,C,R,ME,CH12,7.996795352400946
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1288557_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1288557,M,D,C,R,SE,CH34,14.89523586854297
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12903936_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12903936,,,,,ME,CH12,0.006663791079848803
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12903936_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12903936,,,,,SE,CH34,0.005383758690339435
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12999936_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12999936,,,,,ME,CH12,0.007813195666990274
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12999936_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12999936,,,,,SE,CH34,0.005597699102809542
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13095936_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,13095936,,,,,ME,CH12,0.008595155470966509
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13095936_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,13095936,,,,,SE,CH34,0.004806944283296114
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1349400_M_D_CR_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1349400,M,D,C,R,ME,CH12,1.515873144915649
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1349400_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1349400,M,D,C,R,SE,CH34,7.436697897879804
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13577727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,13577727,,,,,ME,CH12,0.007225266727863787
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13577727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,13577727,,,,,SE,CH34,0.00610849147864135
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13673727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,13673727,,,,,ME,CH12,0.006080253199472457
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13673727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,13673727,,,,,SE,CH34,0.004949370326912598
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13769727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,13769727,,,,,ME,CH12,0.007022171256333446
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13769727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,13769727,,,,,SE,CH34,0.005315441864026182
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13865727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,13865727,,,,,ME,CH12,0.005669267755730491
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13865727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,13865727,,,,,SE,CH34,0.004678569127030556
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13961727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,13961727,,,,,ME,CH12,0.006271663366177833
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13961727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,13961727,,,,,SE,CH34,0.005947710965129708
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14057727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14057727,,,,,ME,CH12,0.005694156709696912
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14057727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14057727,,,,,SE,CH34,0.004857708988978837
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1414168_M_D_CR_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1414168,M,D,C,R,ME,CH12,4.555275301829021
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1414168_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1414168,M,D,C,R,SE,CH34,11.1342733506421
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14153727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14153727,,,,,ME,CH12,0.1180845497521751
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14153727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14153727,,,,,SE,CH34,0.04300658500142726
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1419885_M_D_CL_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1419885,M,D,C,L,ME,CH12,1.97972960017578
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1419885_M_D_CL_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1419885,M,D,C,L,SE,CH34,8.131742421090117
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14249727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14249727,,,,,ME,CH12,0.005179442351307659
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14249727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14249727,,,,,SE,CH34,0.003877150354117491
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14345727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14345727,,,,,ME,CH12,0.004793634820684853
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14345727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14345727,,,,,SE,CH34,0.003068275454268642
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1438658_M_D_CR_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1438658,M,D,C,R,ME,CH12,6.331496931074093
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1438658_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1438658,M,D,C,R,SE,CH34,9.68986381320886
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14441727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14441727,,,,,ME,CH12,0.005460830738339935
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14441727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14441727,,,,,SE,CH34,0.00306279882270656
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14537727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14537727,,,,,ME,CH12,0.004773001711707961
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14537727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14537727,,,,,SE,CH34,0.002942694349010876
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14633727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14633727,,,,,ME,CH12,0.004787163327198377
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14633727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14633727,,,,,SE,CH34,0.003012886141304686
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14729727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14729727,,,,,ME,CH12,0.005082304825012417
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14729727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14729727,,,,,SE,CH34,0.003382313490120647
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14825727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14825727,,,,,ME,CH12,0.006496639158724541
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14825727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14825727,,,,,SE,CH34,0.005038417288083714
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1484141_M_D_CL_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1484141,M,D,C,L,ME,CH12,4.776896037456121
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1484141_M_D_CL_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1484141,M,D,C,L,SE,CH34,12.67031735703813
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14921727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14921727,,,,,ME,CH12,0.01782243708959166
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14921727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14921727,,,,,SE,CH34,0.01200864881540786
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1500952_M_D_CL_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1500952,M,D,C,L,ME,CH12,2.849962705590568
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1500952_M_D_CL_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1500952,M,D,C,L,SE,CH34,11.12648514212855
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_15017727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,15017727,,,,,ME,CH12,0.009702901273450193
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_15017727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,15017727,,,,,SE,CH34,0.006106476065788386
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_15113727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,15113727,,,,,ME,CH12,0.004859792941127787
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_15113727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,15113727,,,,,SE,CH34,0.003329080752353579
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_15209727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,15209727,,,,,ME,CH12,0.005113814931803378
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_15209727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,15209727,,,,,SE,CH34,0.003080706681099752
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_15305727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,15305727,,,,,ME,CH12,0.005639886709129867
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_15305727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,15305727,,,,,SE,CH34,0.003470131368533498
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1533634_M_D_CR_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1533634,M,D,C,R,ME,CH12,5.259431613623178
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1533634_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1533634,M,D,C,R,SE,CH34,10.93361131505977
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_15401727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,15401727,,,,,ME,CH12,0.006418660618352608
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_15401727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,15401727,,,,,SE,CH34,0.00404252339923001
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1542082_M_D_CL_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1542082,M,D,C,L,ME,CH12,6.292599372993574
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1542082_M_D_CL_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1542082,M,D,C,L,SE,CH34,11.35991829820099
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1576813_M_D_CL_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1576813,M,D,C,L,ME,CH12,1.422836304454971
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1576813_M_D_CL_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1576813,M,D,C,L,SE,CH34,7.330623026197203
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1614808_M_D_CR_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1614808,M,D,C,R,ME,CH12,3.623902941892218
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1614808_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1614808,M,D,C,R,SE,CH34,10.2503704488654
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1617240_M_D_CR_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1617240,M,D,C,R,ME,CH12,10.19782296355926
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1617240_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1617240,M,D,C,R,SE,CH34,13.15563521677559
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1620056_M_D_CR_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1620056,M,D,C,R,ME,CH12,4.105578178679733
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1620056_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1620056,M,D,C,R,SE,CH34,9.18973018097262
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1626008_M_D_CR_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1626008,M,D,C,R,ME,CH12,-0.801328513495635
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1626008_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1626008,M,D,C,R,SE,CH34,5.15004703936896
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_16510464_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,16510464,,,,,ME,CH12,0.005654604196535187
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_16510464_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,16510464,,,,,SE,CH34,0.003789064956194473
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_16606464_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,16606464,,,,,ME,CH12,0.005440359831370758
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_16606464_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,16606464,,,,,SE,CH34,0.003801212198384609
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1665496_M_D_CR_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1665496,M,D,C,R,ME,CH12,2.166218861798591
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1665496_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1665496,M,D,C,R,SE,CH34,10.14108912842254
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_16702464_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,16702464,,,,,ME,CH12,0.005577918380846194
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_16702464_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,16702464,,,,,SE,CH34,0.003704557671683147
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_16798464_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,16798464,,,,,ME,CH12,0.007135752454892304
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_16798464_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,16798464,,,,,SE,CH34,0.004406599107985613
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_16894464_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,16894464,,,,,ME,CH12,0.008584583572667942
