,file,is_background,date_time,location,speed_kmh,sample_pos,daytime,weather,vehicle,source_direction,microphone,channel
11,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10557440_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10557440,None,None,None,None,SE,CH34
12,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10653440_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10653440,None,None,None,None,ME,CH12
13,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10653440_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10653440,None,None,None,None,SE,CH34
14,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10749440_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10749440,None,None,None,None,ME,CH12
15,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10749440_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10749440,None,None,None,None,SE,CH34
16,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10845440_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10845440,None,None,None,None,ME,CH12
17,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10845440_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10845440,None,None,None,None,SE,CH34
18,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1116695_M_D_CR_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1116695,M,D,C,R,ME,CH12
19,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1116695_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1116695,M,D,C,R,SE,CH34
20,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1137602_M_D_CL_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1137602,M,D,C,L,ME,CH12
21,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1137602_M_D_CL_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1137602,M,D,C,L,SE,CH34
22,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_11398656_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,11398656,None,None,None,None,ME,CH12
23,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_11398656_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,11398656,None,None,None,None,SE,CH34
24,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1141442_M_D_CR_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1141442,M,D,C,R,ME,CH12
25,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1141442_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1141442,M,D,C,R,SE,CH34
26,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_11494656_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,11494656,None,None,None,None,ME,CH12
27,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_11494656_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,11494656,None,None,None,None,SE,CH34
28,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_11590656_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,11590656,None,None,None,None,ME,CH12
29,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_11590656_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,11590656,None,None,None,None,SE,CH34
30,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1172589_M_D_CL_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1172589,M,D,C,L,ME,CH12
31,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1172589_M_D_CL_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1172589,M,D,C,L,SE,CH34
32,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12135936_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12135936,None,None,None,None,ME,CH12
33,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12135936_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12135936,None,None,None,None,SE,CH34
34,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12231936_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12231936,None,None,None,None,ME,CH12
35,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12231936_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12231936,None,None,None,None,SE,CH34
36,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12327936_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12327936,None,None,None,None,ME,CH12
37,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12327936_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12327936,None,None,None,None,SE,CH34
38,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1238893_M_D_CL_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1238893,M,D,C,L,ME,CH12
39,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1238893_M_D_CL_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1238893,M,D,C,L,SE,CH34
40,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12423936_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12423936,None,None,None,None,ME,CH12
41,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12423936_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12423936,None,None,None,None,SE,CH34
42,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12519936_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12519936,None,None,None,None,ME,CH12
43,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12519936_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12519936,None,None,None,None,SE,CH34
44,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12615936_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12615936,None,None,None,None,ME,CH12
45,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12615936_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12615936,None,None,None,None,SE,CH34
46,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1264066_M_D_CR_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1264066,M,D,C,R,ME,CH12
47,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1264066_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1264066,M,D,C,R,SE,CH34
48,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1266200_M_D_CR_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1266200,M,D,C,R,ME,CH12
49,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1266200_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1266200,M,D,C,R,SE,CH34
50,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12711936_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12711936,None,None,None,None,ME,CH12
51,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12711936_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12711936,None,None,None,None,SE,CH34
52,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1272258_M_D_BR_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1272258,M,D,B,R,ME,CH12
53,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1272258_M_D_BR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1272258,M,D,B,R,SE,CH34
54,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12807936_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12807936,None,None,None,None,ME,CH12
55,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12807936_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12807936,None,None,None,None,SE,CH34
56,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1288557_M_D_CR_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1288557,M,D,C,R,ME,CH12
57,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1288557_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1288557,M,D,C,R,SE,CH34
58,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12903936_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12903936,None,None,None,None,ME,CH12
59,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12903936_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12903936,None,None,None,None,SE,CH34
60,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12999936_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12999936,None,None,None,None,ME,CH12
61,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12999936_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12999936,None,None,None,None,SE,CH34
62,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13095936_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,13095936,None,None,None,None,ME,CH12
63,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13095936_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,13095936,None,None,None,None,SE,CH34
64,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1349400_M_D_CR_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1349400,M,D,C,R,ME,CH12
65,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1349400_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1349400,M,D,C,R,SE,CH34
66,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13577727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,13577727,None,None,None,None,ME,CH12
67,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13577727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,13577727,None,None,None,None,SE,CH34
68,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13673727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,13673727,None,None,None,None,ME,CH12
69,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13673727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,13673727,None,None,None,None,SE,CH34
70,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13769727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,13769727,None,None,None,None,ME,CH12
71,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13769727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,13769727,None,None,None,None,SE,CH34
72,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13865727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,13865727,None,None,None,None,ME,CH12
73,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13865727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,13865727,None,None,None,None,SE,CH34
74,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13961727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,13961727,None,None,None,None,ME,CH12
75,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13961727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,13961727,None,None,None,None,SE,CH34
76,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14057727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14057727,None,None,None,None,ME,CH12
77,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14057727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14057727,None,None,None,None,SE,CH34
78,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1414168_M_D_CR_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1414168,M,D,C,R,ME,CH12
79,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1414168_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1414168,M,D,C,R,SE,CH34
80,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14153727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14153727,None,None,None,None,ME,CH12
81,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14153727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14153727,None,None,None,None,SE,CH34
82,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1419885_M_D_CL_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1419885,M,D,C,L,ME,CH12
83,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1419885_M_D_CL_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1419885,M,D,C,L,SE,CH34
84,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14249727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14249727,None,None,None,None,ME,CH12
85,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14249727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14249727,None,None,None,None,SE,CH34
86,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14345727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14345727,None,None,None,None,ME,CH12
87,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14345727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14345727,None,None,None,None,SE,CH34
88,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1438658_M_D_CR_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1438658,M,D,C,R,ME,CH12
89,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1438658_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1438658,M,D,C,R,SE,CH34
90,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14441727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14441727,None,None,None,None,ME,CH12
91,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14441727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14441727,None,None,None,None,SE,CH34
92,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14537727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14537727,None,None,None,None,ME,CH12
93,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14537727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14537727,None,None,None,None,SE,CH34
94,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14633727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14633727,None,None,None,None,ME,CH12
95,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14633727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14633727,None,None,None,None,SE,CH34
96,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14729727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14729727,None,None,None,None,ME,CH12
97,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14729727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14729727,None,None,None,None,SE,CH34
98,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14825727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14825727,None,None,None,None,ME,CH12
99,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14825727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14825727,None,None,None,None,SE,CH34
100,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1484141_M_D_CL_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1484141,M,D,C,L,ME,CH12
101,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1484141_M_D_CL_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1484141,M,D,C,L,SE,CH34
102,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14921727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14921727,None,None,None,None,ME,CH12
103,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14921727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14921727,None,None,None,None,SE,CH34
104,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1500952_M_D_CL_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1500952,M,D,C,L,ME,CH12
105,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1500952_M_D_CL_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1500952,M,D,C,L,SE,CH34
106,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_15017727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,15017727,None,None,None,None,ME,CH12
107,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_15017727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,15017727,None,None,None,None,SE,CH34
108,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_15113727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,15113727,None,None,None,None,ME,CH12
109,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_15113727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,15113727,None,None,None,None,SE,CH34
110,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_15209727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,15209727,None,None,None,None,ME,CH12
111,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_15209727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,15209727,None,None,None,None,SE,CH34
112,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_15305727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,15305727,None,None,None,None,ME,CH12
113,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_15305727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,15305727,None,None,None,None,SE,CH34
114,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1533634_M_D_CR_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1533634,M,D,C,R,ME,CH12
115,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1533634_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1533634,M,D,C,R,SE,CH34
116,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_15401727_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,15401727,None,None,None,None,ME,CH12
117,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_15401727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,15401727,None,None,None,None,SE,CH34
118,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1542082_M_D_CL_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1542082,M,D,C,L,ME,CH12
119,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1542082_M_D_CL_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1542082,M,D,C,L,SE,CH34
120,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1576813_M_D_CL_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1576813,M,D,C,L,ME,CH12
121,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1576813_M_D_CL_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1576813,M,D,C,L,SE,CH34
122,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1614808_M_D_CR_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1614808,M,D,C,R,ME,CH12
123,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1614808_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1614808,M,D,C,R,SE,CH34
124,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1617240_M_D_CR_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1617240,M,D,C,R,ME,CH12
125,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1617240_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1617240,M,D,C,R,SE,CH34
126,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1620056_M_D_CR_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1620056,M,D,C,R,ME,CH12
127,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1620056_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1620056,M,D,C,R,SE,CH34
128,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1626008_M_D_CR_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1626008,M,D,C,R,ME,CH12
129,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1626008_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1626008,M,D,C,R,SE,CH34
130,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_16510464_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,16510464,None,None,None,None,ME,CH12
131,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_16510464_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,16510464,None,None,None,None,SE,CH34
132,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_16606464_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,16606464,None,None,None,None,ME,CH12
133,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_16606464_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,16606464,None,None,None,None,SE,CH34
134,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1665496_M_D_CR_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1665496,M,D,C,R,ME,CH12
135,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1665496_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1665496,M,D,C,R,SE,CH34
136,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_16702464_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,16702464,None,None,None,None,ME,CH12
137,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_16702464_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,16702464,None,None,None,None,SE,CH34
138,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_16798464_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,16798464,None,None,None,None,ME,CH12
139,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_16798464_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,16798464,None,None,None,None,SE,CH34
140,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_16894464_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,16894464,None,None,None,None,ME,CH12
141,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_16894464_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,16894464,None,None,None,None,SE,CH34
142,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_169453_M_D_CR_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,169453,M,D,C,R,ME,CH12
143,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_169453_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,169453,M,D,C,R,SE,CH34
144,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_16990464_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,16990464,None,None,None,None,ME,CH12
145,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_16990464_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,16990464,None,None,None,None,SE,CH34
146,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1703512_M_D_CR_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1703512,M,D,C,R,ME,CH12
